s1,w1,dbday,Season,Day,Psalm_MP,Psalm_EP,OT,OTFormatted,Epistle,Epistle_Formatted,Gospel,Gospel_Formatted
easter,4,0,,Sunday,"63:1-8(9-11),98",103,"Exod. 28:1-4,30-38","Exodus+28:1-38",1John 2:18-29,1+John+2:18-29,Mark 6:30-44,Mark+6:30-44
easter,4,1,,Monday,"41,52",44,Exod. 32:1-20,Exodus+32:1-20,Col 3:18-4:6(7-18),Colossians+3:18-4:6(7-18),Matt. 5:1-10,Matthew+5:1-10
easter,4,2,,Tuesday,45,"47,48",Exod. 32:21-34,Exodus+32:21-34,1Thess. 1:1-10,!+Thessalonians+1:1-10,Matt. 5:11-16,Matthew+5:11-16
easter,4,3,,Wednesday,119:49-72,"49,[53]",Exod. 33:1-23,Exodus+33:1-23,1Thess. 2:1-12,!+Thessalonians+2:1-12,Matt. 5:17-20,Matthew+5:17-20
easter,4,4,,Thursday,50,"[59,60] *or* 114, 115",Exod. 34:1-17,Exodus+34:1-17,1Thess. 2:13-20,!+Thessalonians+2:13-20,Matt. 5:21-26,Matthew+5:21-26
easter,4,5,,Friday,"40,54",51,Exod. 34:18-35,Exodus+34:18-35,1Thess. 3:1-13,!+Thessalonians+3:1-13,Matt. 5:27-37,Matthew+5:27-37
easter,4,6,,Saturday,55,"138,139:1-17(18-23)",Exod. 40:18-38,Exodus+40:18-38,1Thess. 4:1-12,!+Thessalonians+4:1-12,Matt. 5:38-48,Matthew+5:38-48
easter,5,0,,Sunday,"24, 29","8, 84","Lev. 8:1-13,30-36","Leviticus+8:1-13,30-36",Heb. 12:1-14,Hebrews+12:1-14,Luke 4:16-30,Luke+4:16-30
easter,5,1,,Monday,"56, 57, [58]","64, 65",Lev. 16:1-19,Leviticus+16:1-19,1Thess. 4:13-18,!+Thessalonians+4:13-18,"Matt. 6:1-6,16-18","Matthew+6:1-6,16-18"
easter,5,2,,Tuesday,"61, 62",68:1-20(21-23)24-36,Lev. 16:20-34,Leviticus+16:20-34,1Thess. 5:1-11,!+Thessalonians+5:1-11,Matt. 6:7-15,Matthew+6:7-15
easter,5,3,,Wednesday,72,119:73-96,Lev. 19:1-18,Leviticus+19:1-18,1Thess. 5:12-28,1+Thessalonians+5:12-28,Matt. 6:19-24,Matthew+6:19-24
easter,5,4,,Thursday,"[70], 71",74,Lev. 19:26-37,Leviticus+19:26-37,2Thess. 1:1-12,2+Thessalonians+1:1-12,Matt. 6:25-34,Matthew+6:25-34
easter,5,5,,Friday,106:1-18,106:19-48,Lev. 23:1-22,Leviticus+23:1-22,2Thess. 2:1-17,2+Thessalonians+2:1-17,Matt. 7:1-12,Matthew+7:1-12
easter,5,6,,Saturday,"75, 76","23, 27",Lev. 23:23-44,Leviticus+23:23-44,2Thess. 3:1-18,2+Thessalonians+3:1-18,Matt. 7:13-21,Matthew+7:13-21
easter,6,0,,Sunday,"93, 96",34,Lev. 25:1-17,Leviticus+25:1-17,"James 1:2-8,16-18","James+1:2-8,16-18",Luke 12:13-21,Luke+12:13-21
easter,6,1,,Monday,80,"77, [79]",Lev. 25:35-55,Leviticus+25:35-55,Col. 1:9-14,Colossians+1:9-14,Matt. 13:1-16,Matthew+13:1-16
easter,6,2,,Tuesday,78:1-39,78:40-72,Lev. 26:1-20,Leviticus+26:1-20,1Tim. 2:1-6,1+Timothy+2:1-6,Matt. 13:18-23,Matthew+13:18-23
easter,6,3,,Wednesday,119:97-120,,Lev. 26:27-42,Leviticus+26:27-42,Eph. 1:1-10,Ephesians+1:1-10,Matt. 22:41-46,Matthew+22:41-46
easter,6,ascension,,Ascension Day,"8, 47","24, 96",Dan. 7:9-14,Daniel+7:9-14,Heb. 2:5-18,Hebrews+2:5-18,Matt. 28:16-20,Matthew+28:16-20
easter,6,5,,Friday,"85, 86","91, 92",1Sam. 2:1-10,1+Samuel+2:1-10,Eph. 2:1-10,Ephesians+2:1-10,Matt. 7:22-27,Matthew+7:22-27
easter,6,6,,Saturday,"87, 90",136,"Num. 11:16-17,24-29","Numbers+11:16-17,24-29",Eph. 2:11-22,Ephesians+2:11-22,Matt. 7:28-8:4,Matthew+7:28-8:4
easter,7,0,,Sunday,"66, 67","19, 46",Exod. 3:1-12,Exodus+3:1-12,Heb. 12:18-29,Hebrews+12:18-29,Matt. Luke 10:17-24,Matthew+Luke 10:17-24
easter,7,1,,Monday,89:1-18,89:19-52,Joshua 1:1-9,Joshua+1:1-9,Eph. 3:1-13,Ephesians+3:1-13,Matt. 8:5-17,Matthew+8:5-17
easter,7,2,,Tuesday,"97, 99, [100]","94, [95]",1Sam. 16:1-13a,1+Samuel+16:1-13a,Eph. 3:14-21,Ephesians+3:14-21,Matt. 8:18-27,Matthew+8:18-27
easter,7,3,,Wednesday,"101, 109:1-4(5-19)20-30",119:121-144,Isa. 4:2-6,Isaiah+4:2-6,Eph. 4:1-16,Ephesians+4:1-16,Matt. 8:28-34,Matthew+8:28-34
easter,7,4,,Thursday,105:1-22,105:23-45,Zech. 4:1-14,Zechariah+4:1-14,Eph. 4:17-32,Ephesians+4:17-32,Matt. 9:1-8,Matthew+9:1-8
easter,7,5,,Friday,102,107:1-32,Jer. 31:27-34,Jeremiah+31:27-34,Eph. 5:1-20,Ephesians+5:1-20,Matt. 9:9-17,Matthew+9:9-17
easter,7,6,,Saturday,"107:33-43, 108:1-6(7-13)",,Ezek. 36:22-27,Ezekiel+36:22-27,Eph. 6:10-24,Ephesians+6:10-24,Matt. 9:18-26,Matthew+9:18-26